"f(m,k)",M1,M2,M3,M4,M5
K1,2,1,5,3,4
K2,5,4,3,1,2
K3,3,2,4,5,1
K4,4,5,1,2,3
K5,1,3,2,4,5
K6,3,2,5,1,4
K7,5,3,2,4,1
K8,4,1,3,5,2
K9,1,5,4,2,3
K10,2,4,1,3,5
K11,2,1,5,4,3
K12,4,3,1,5,2
K13,3,4,2,1,5
K14,1,5,3,2,4
K15,5,2,4,3,1

P(m),M1,M2,M3,M4,M5
P,0.199,0.212,0.18,0.195,0.214

P(k),K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12,K13,K14,K15
P,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067

Pe(m),M1,M2,M3,M4,M5
E1,0.199,0.212,0.18,0.195,0.214
E2,0.199,0.212,0.18,0.195,0.214
E3,0.199,0.212,0.18,0.195,0.214
E4,0.199,0.212,0.18,0.195,0.214
E5,0.199,0.212,0.18,0.195,0.214

Pe(m)-P(m),M1,M2,M3,M4,M5
E1,0.0,0.0,0.0,0.0,0.0
E2,0.0,0.0,0.0,0.0,0.0
E3,0.0,0.0,0.0,0.0,0.0
E4,0.0,0.0,0.0,0.0,0.0
E5,0.0,0.0,0.0,0.0,0.0

Pe(k)/P(m),E1,E2,E3,E4,E5
K1,0.333,0.333,0.333,0.333,0.333
K2,0.333,0.333,0.333,0.333,0.333
K3,0.333,0.333,0.333,0.333,0.333
K4,0.333,0.333,0.333,0.333,0.333
K5,0.333,0.333,0.333,0.333,0.333
K6,0.333,0.333,0.333,0.333,0.333
K7,0.333,0.333,0.333,0.333,0.333
K8,0.333,0.333,0.333,0.333,0.333
K9,0.333,0.333,0.333,0.333,0.333
K10,0.333,0.333,0.333,0.333,0.333
K11,0.333,0.333,0.333,0.333,0.333
K12,0.333,0.333,0.333,0.333,0.333
K13,0.333,0.333,0.333,0.333,0.333
K14,0.333,0.333,0.333,0.333,0.333
K15,0.333,0.333,0.333,0.333,0.333
