"f(m,k)",M1,M2,M3,M4,M5
K1,2,1,5,3,4
K2,5,4,3,1,2
K3,3,2,4,5,1
K4,4,5,1,2,3
K5,1,3,2,4,5
K6,3,2,5,1,4
K7,5,3,2,4,1
K8,4,1,3,5,2
K9,1,5,4,2,3
K10,2,4,1,3,5
K11,2,1,5,4,3
K12,4,3,1,5,2
K13,3,4,2,1,5
K14,1,5,3,2,4
K15,5,2,4,3,1

P(m),M1,M2,M3,M4,M5
P,0.199,0.212,0.18,0.195,0.214

P(k),K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12,K13,K14,K15
P,0.077,0,0.077,0.077,0.077,0.077,0,0.077,0.077,0.077,0.077,0.077,0.077,0.077,0.077

Pe(m),M1,M2,M3,M4,M5
E1,0.23,0.245,0.208,0.151,0.165
E2,0.229,0.244,0.138,0.224,0.164
E3,0.229,0.163,0.138,0.224,0.246
E4,0.23,0.164,0.208,0.15,0.248
E5,0.076,0.244,0.208,0.225,0.247

Pe(m)-P(m),M1,M2,M3,M4,M5
E1,0.031,0.033,0.028,-0.044,-0.049
E2,0.03,0.032,-0.042,0.029,-0.05
E3,0.03,-0.049,-0.042,0.029,0.032
E4,0.031,-0.048,0.028,-0.045,0.034
E5,-0.123,0.032,0.028,0.03,0.033

Pe(k)/P(m),E1,E2,E3,E4,E5
K1,0.386,0.384,0.383,0.386,0.384
K2,0.0,0.0,0.0,0.0,0.0
K3,0.386,0.384,0.383,0.386,0.384
K4,0.386,0.384,0.383,0.386,0.384
K5,0.386,0.384,0.383,0.386,0.384
K6,0.386,0.384,0.383,0.386,0.384
K7,0.0,0.0,0.0,0.0,0.0
K8,0.386,0.384,0.383,0.386,0.384
K9,0.386,0.384,0.383,0.386,0.384
K10,0.386,0.384,0.383,0.386,0.384
K11,0.386,0.384,0.383,0.386,0.384
K12,0.386,0.384,0.383,0.386,0.384
K13,0.386,0.384,0.383,0.386,0.384
K14,0.386,0.384,0.383,0.386,0.384
K15,0.386,0.384,0.383,0.386,0.384
