"f(m,k)",M1,M2,M3,M4,M5,M6,M7,M8
K1,4,1,5,8,4,7,2,3
K2,5,7,3,4,2,6,1,8
K3,3,5,7,2,8,1,6,4
K4,7,2,8,6,1,4,3,5
K5,8,3,4,1,7,2,5,7
K6,6,6,2,7,5,3,8,1
K7,2,4,1,5,3,8,7,6
K8,1,8,6,3,7,5,4,2

P(m),M1,M2,M3,M4,M5,M6,M7,M8
P,0.182,0.18,0.19,0.049,0.126,0.183,0.017,0.074

P(k),K1,K2,K3,K4,K5,K6,K7,K8
P,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125

Pe(m),M1,M2,M3,M4,M5,M6,M7,M8
E1,0.182,0.18,0.19,0.049,0.126,0.183,0.017,0.074
E2,0.182,0.18,0.19,0.049,0.126,0.183,0.017,0.074
E3,0.182,0.18,0.19,0.049,0.126,0.183,0.017,0.074
E4,0.182,0.18,0.19,0.049,0.126,0.183,0.017,0.074
E5,0.182,0.18,0.19,0.049,0.126,0.183,0.017,0.074
E6,0.208,0.206,0.217,0.056,0.0,0.209,0.019,0.085
E7,0.161,0.16,0.169,0.043,0.224,0.162,0.015,0.066
E8,0.182,0.18,0.19,0.049,0.126,0.183,0.017,0.074

Pe(m)-P(m),M1,M2,M3,M4,M5,M6,M7,M8
E1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
E2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
E3,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
E4,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
E5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
E6,0.026,0.026,0.027,0.007,-0.126,0.026,0.002,0.011
E7,-0.021,-0.02,-0.021,-0.006,0.098,-0.021,-0.002,-0.008
E8,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0

Pe(k)/P(m),E1,E2,E3,E4,E5,E6,E7,E8
K1,0.999,0.999,0.999,1.691,0.999,0,0.887,0.999
K2,0.999,0.999,0.999,0.999,0.999,1.143,0.887,0.999
K3,0.999,0.999,0.999,0.999,0.999,1.143,0.887,0.999
K4,0.999,0.999,0.999,0.999,0.999,1.143,0.887,0.999
K5,0.999,0.999,0.999,0.999,0.999,0,1.408,0.999
K6,0.999,0.999,0.999,0,0.999,2.273,0.887,0.999
K7,0.999,0.999,0.999,0.999,0.999,1.143,0.887,0.999
K8,0.999,0.999,0.999,0.999,0.999,1.143,0.887,0.999
