"f(m,k)",M1,M2,M3,M4
K1,5,1,2,4
K2,5,2,3,4
K3,2,4,1,5
K4,1,5,4,2
K5,4,2,5,1
K6,2,5,4,3
K7,3,4,2,5
K8,4,3,5,2

P(m),M1,M2,M3,M4
P,0.042,0.302,0.003,0.653

P(k),K1,K2,K3,K4,K5,K6,K7,K8
P,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125

Pe(m),M1,M2,M3,M4
E1,0.042,0.302,0.003,0.653
E2,0.042,0.302,0.003,0.653
E3,0.042,0.302,0.003,0.653
E4,0.042,0.302,0.003,0.653
E5,0.042,0.302,0.003,0.653

Pe(m)-P(m),M1,M2,M3,M4
E1,0.0,0.0,0.0,0.0
E2,0.0,0.0,0.0,0.0
E3,0.0,0.0,0.0,0.0
E4,0.0,0.0,0.0,0.0
E5,0.0,0.0,0.0,0.0

Pe(k)/P(m),E1,E2,E3,E4,E5
K1,1.0,0.5,0,0.5,0.5
K2,0,0.5,1.0,0.5,0.5
K3,1.0,0.5,0,0.5,0.5
K4,1.0,0.5,0,0.5,0.5
K5,1.0,0.5,0,0.5,0.5
K6,0,0.5,1.0,0.5,0.5
K7,0,0.5,1.0,0.5,0.5
K8,0,0.5,1.0,0.5,0.5
